school_id,sanction,offense
143,in school suspension  ISS,1st
143,in school suspension  ISS,2nd
144,in school suspension  ISS,Any
147,in school suspension  ISS,3rd
148,in school suspension  ISS,Any
157,in school suspension  ISS,Any
165,in school suspension  ISS,Any
166,in school suspension  ISS,3rd
172,in school suspension  ISS,Any
174,in school suspension  ISS,Any
175,in school suspension  ISS,Any
178,in school suspension  ISS,Any
182,in school suspension  ISS,Any
185,in school suspension  ISS,Any
193,in school suspension  ISS,Any
197,in school suspension  ISS,Any
199,in school suspension  ISS,Any
203,in school suspension  ISS,Any
208,in school suspension  ISS,Any
210,in school suspension  ISS,Any
213,in school suspension  ISS,Any
220,in school suspension  ISS,1st
220,in school suspension  ISS,2nd
228,in school suspension  ISS,3rd
228,in school suspension  ISS,4th
237,in school suspension  ISS,Any
242,in school suspension  ISS,Any
245,in school suspension  ISS,Any
248,in school suspension  ISS,Any
250,in school suspension  ISS,Any
251,in school suspension  ISS,Any
256,in school suspension  ISS,Any
263,in school suspension  ISS,Any
269,in school suspension  ISS,Any
271,in school suspension  ISS,Any
274,in school suspension  ISS,Any
275,in school suspension  ISS,Any
278,in school suspension  ISS,Any
280,in school suspension  ISS,Any
281,in school suspension  ISS,Any
284,in school suspension  ISS,5th
297,in school suspension  ISS,3rd
297,in school suspension  ISS,4th
297,in school suspension  ISS,5th
312,in school suspension  ISS,1st
314,in school suspension  ISS,Any
317,in school suspension  ISS,Any
324,in school suspension  ISS,1st
325,in school suspension  ISS,2nd
331,in school suspension  ISS,Any
334,in school suspension  ISS,Any
335,in school suspension  ISS,Any
340,in school suspension  ISS,Any
479,in school suspension  ISS,Any
474,in school suspension  ISS,Any
345,in school suspension  ISS,1st
345,in school suspension  ISS,2nd
345,in school suspension  ISS,1st
345,in school suspension  ISS,2nd
353,in school suspension  ISS,2nd
357,in school suspension  ISS,4th
359,in school suspension  ISS,3rd
360,in school suspension  ISS,Any
374,in school suspension  ISS,Any
375,in school suspension  ISS,Any
379,in school suspension  ISS,Any
387,in school suspension  ISS,5th
401,in school suspension  ISS,Any
403,in school suspension  ISS,Any
404,in school suspension  ISS,Any
462,in school suspension  ISS,2nd
460,in school suspension  ISS,3rd
460,in school suspension  ISS,4th
444,in school suspension  ISS,Any
443,in school suspension  ISS,Any
438,in school suspension  ISS,2nd
435,in school suspension  ISS,Any
420,in school suspension  ISS,Any
418,in school suspension  ISS,Any
413,in school suspension  ISS,2nd
14,parents called,Any
17,parents called,Any
19,parents called,2nd
24,parents called,1st
25,parents called,Any
27,parents called,1st
27,parents called,2nd
27,parents called,3rd
27,parents called,4th
33,parents called,1st
44,parents called,1st
44,parents called,2nd
44,parents called,3rd
47,parents called,Any
49,parents called,Any
54,parents called,Any
65,parents called,Any
76,parents called,1st
76,parents called,2nd
76,parents called,3rd
86,parents called,1st
91,parents called,Any
97,parents called,1st
97,parents called,2nd
99,parents called,1st
99,parents called,2nd
99,parents called,3rd
100,parents called,1st
100,parents called,2nd
113,parents called,Any
114,parents called,Any
115,parents called,1st
119,parents called,3rd
122,parents called,Any
131,parents called,Any
132,parents called,Any
134,parents called,Any
138,parents called,Any
140,parents called,Any
161,parents called,Any
168,parents called,Any
170,parents called,Any
172,parents called,Any
203,parents called,Any
214,parents called,Any
222,parents called,Any
225,parents called,1st
228,parents called,3rd
266,parents called,Any
267,parents called,Any
274,parents called,Any
282,parents called,1st
282,parents called,2nd
284,parents called,2nd
284,parents called,3rd
284,parents called,4th
284,parents called,5th
285,parents called,Any
287,parents called,Any
289,parents called,Any
290,parents called,Any
296,parents called,Any
297,parents called,1st
297,parents called,2nd
297,parents called,3rd
297,parents called,4th
297,parents called,5th
310,parents called,1st
311,parents called,2nd
311,parents called,3rd
312,parents called,2nd
316,parents called,Any
323,parents called,Any
328,parents called,Any
333,parents called,1st
333,parents called,2nd
333,parents called,3rd
337,parents called,Any
338,parents called,1st
344,parents called,Any
478,parents called,1st
473,parents called,Any
346,parents called,2nd
346,parents called,3rd
350,parents called,Any
357,parents called,2nd
357,parents called,3rd
358,parents called,1st
359,parents called,2nd
359,parents called,3rd
359,parents called,4th
364,parents called,Any
365,parents called,Any
383,parents called,Any
387,parents called,1st
388,parents called,Any
390,parents called,Any
391,parents called,Any
465,parents called,Any
462,parents called,1st
462,parents called,2nd
456,parents called,Any
451,parents called,Any
448,parents called,Any
447,parents called,Any
443,parents called,Any
442,parents called,Any
441,parents called,Any
438,parents called,1st
430,parents called,Any
416,parents called,Any
415,parents called,2nd
413,parents called,2nd
3,parents must bring a change of clothes,Any
9,parents must bring a change of clothes,Any
12,parents must bring a change of clothes,Any
15,parents must bring a change of clothes,Any
16,parents must bring a change of clothes,Any
17,parents must bring a change of clothes,Any
32,parents must bring a change of clothes,Any
35,parents must bring a change of clothes,1st
39,parents must bring a change of clothes,1st
39,parents must bring a change of clothes,2nd
45,parents must bring a change of clothes,Any
47,parents must bring a change of clothes,Any
52,parents must bring a change of clothes,Any
53,parents must bring a change of clothes,Any
57,parents must bring a change of clothes,1st
57,parents must bring a change of clothes,2nd
57,parents must bring a change of clothes,3rd
59,parents must bring a change of clothes,Any
61,parents must bring a change of clothes,Any
63,parents must bring a change of clothes,Any
65,parents must bring a change of clothes,Any
66,parents must bring a change of clothes,Any
68,parents must bring a change of clothes,Any
69,parents must bring a change of clothes,Any
71,parents must bring a change of clothes,Any
82,parents must bring a change of clothes,1st
84,parents must bring a change of clothes,Any
89,parents must bring a change of clothes,Any
96,parents must bring a change of clothes,Any
98,parents must bring a change of clothes,Any
99,parents must bring a change of clothes,1st
99,parents must bring a change of clothes,2nd
99,parents must bring a change of clothes,3rd
102,parents must bring a change of clothes,Any
112,parents must bring a change of clothes,Any
113,parents must bring a change of clothes,Any
116,parents must bring a change of clothes,Any
117,parents must bring a change of clothes,Any
121,parents must bring a change of clothes,Any
124,parents must bring a change of clothes,Any
126,parents must bring a change of clothes,Any
131,parents must bring a change of clothes,Any
137,parents must bring a change of clothes,Any
140,parents must bring a change of clothes,Any
143,parents must bring a change of clothes,1st
157,parents must bring a change of clothes,Any
161,parents must bring a change of clothes,Any
162,parents must bring a change of clothes,4th
168,parents must bring a change of clothes,Any
173,parents must bring a change of clothes,2nd
174,parents must bring a change of clothes,Any
182,parents must bring a change of clothes,Any
193,parents must bring a change of clothes,Any
197,parents must bring a change of clothes,Any
199,parents must bring a change of clothes,Any
207,parents must bring a change of clothes,Any
210,parents must bring a change of clothes,Any
220,parents must bring a change of clothes,1st
223,parents must bring a change of clothes,Any
224,parents must bring a change of clothes,2nd
237,parents must bring a change of clothes,Any
239,parents must bring a change of clothes,Any
245,parents must bring a change of clothes,Any
248,parents must bring a change of clothes,Any
250,parents must bring a change of clothes,Any
270,parents must bring a change of clothes,Any
271,parents must bring a change of clothes,Any
275,parents must bring a change of clothes,Any
282,parents must bring a change of clothes,1st
282,parents must bring a change of clothes,2nd
289,parents must bring a change of clothes,Any
301,parents must bring a change of clothes,Any
302,parents must bring a change of clothes,1st
312,parents must bring a change of clothes,1st
313,parents must bring a change of clothes,1st
314,parents must bring a change of clothes,Any
316,parents must bring a change of clothes,Any
317,parents must bring a change of clothes,Any
331,parents must bring a change of clothes,Any
332,parents must bring a change of clothes,Any
333,parents must bring a change of clothes,1st
333,parents must bring a change of clothes,2nd
333,parents must bring a change of clothes,3rd
335,parents must bring a change of clothes,Any
479,parents must bring a change of clothes,Any
474,parents must bring a change of clothes,Any
472,parents must bring a change of clothes,Any
353,parents must bring a change of clothes,2nd
358,parents must bring a change of clothes,1st
367,parents must bring a change of clothes,Any
390,parents must bring a change of clothes,Any
391,parents must bring a change of clothes,Any
397,parents must bring a change of clothes,Any
401,parents must bring a change of clothes,Any
404,parents must bring a change of clothes,Any
460,parents must bring a change of clothes,1st
460,parents must bring a change of clothes,2nd
460,parents must bring a change of clothes,3rd
458,parents must bring a change of clothes,Any
453,parents must bring a change of clothes,Any
435,parents must bring a change of clothes,Any
434,parents must bring a change of clothes,Any
431,parents must bring a change of clothes,Any
423,parents must bring a change of clothes,Any
6,sent home for the day,Any
7,sent home for the day,Any
10,sent home for the day,2nd
11,sent home for the day,Any
22,sent home for the day,2nd
24,sent home for the day,1st
24,sent home for the day,2nd
24,sent home for the day,3rd
32,sent home for the day,Any
35,sent home for the day,1st
38,sent home for the day,Any
41,sent home for the day,Any
42,sent home for the day,Any
43,sent home for the day,1st
45,sent home for the day,Any
49,sent home for the day,Any
52,sent home for the day,Any
53,sent home for the day,Any
54,sent home for the day,Any
55,sent home for the day,Any
57,sent home for the day,3rd
58,sent home for the day,Any
61,sent home for the day,Any
64,sent home for the day,Any
67,sent home for the day,Any
80,sent home for the day,Any
87,sent home for the day,Any
91,sent home for the day,Any
92,sent home for the day,Any
94,sent home for the day,Any
107,sent home for the day,Any
109,sent home for the day,Any
110,sent home for the day,Any
118,sent home for the day,Any
121,sent home for the day,Any
122,sent home for the day,Any
131,sent home for the day,Any
132,sent home for the day,Any
133,sent home for the day,Any
134,sent home for the day,Any
137,sent home for the day,Any
138,sent home for the day,Any
139,sent home for the day,Any
140,sent home for the day,Any
145,sent home for the day,Any
148,sent home for the day,Any
156,sent home for the day,Any
163,sent home for the day,4th
172,sent home for the day,Any
173,sent home for the day,2nd
173,sent home for the day,3rd
188,sent home for the day,Any
190,sent home for the day,Any
192,sent home for the day,Any
196,sent home for the day,Any
203,sent home for the day,Any
230,sent home for the day,Any
235,sent home for the day,Any
252,sent home for the day,Any
256,sent home for the day,Any
261,sent home for the day,Any
265,sent home for the day,Any
267,sent home for the day,Any
269,sent home for the day,Any
273,sent home for the day,Any
276,sent home for the day,Any
279,sent home for the day,Any
287,sent home for the day,Any
288,sent home for the day,Any
289,sent home for the day,Any
295,sent home for the day,Any
299,sent home for the day,Any
311,sent home for the day,1st
315,sent home for the day,Any
326,sent home for the day,Any
330,sent home for the day,Any
337,sent home for the day,Any
339,sent home for the day,1st
341,sent home for the day,2nd
477,sent home for the day,Any
349,sent home for the day,Any
349,sent home for the day,Any
361,sent home for the day,Any
366,sent home for the day,Any
388,sent home for the day,Any
392,sent home for the day,Any
397,sent home for the day,Any
405,sent home for the day,Any
467,sent home for the day,Any
465,sent home for the day,Any
455,sent home for the day,Any
447,sent home for the day,Any
445,sent home for the day,1st
444,sent home for the day,Any
441,sent home for the day,Any
440,sent home for the day,Any
438,sent home for the day,2nd
436,sent home for the day,Any
431,sent home for the day,Any
430,sent home for the day,Any
426,sent home for the day,Any
415,sent home for the day,3rd
414,sent home for the day,Any
409,sent home for the day,Any
0,suspension,Any
13,suspension,Any
14,suspension,Any
17,suspension,Any
18,suspension,Any
19,suspension,2nd
19,suspension,3rd
19,suspension,4th
22,suspension,3rd
23,suspension,4th
27,suspension,2nd
27,suspension,3rd
27,suspension,4th
30,suspension,4th
36,suspension,5th
38,suspension,Any
39,suspension,Any
42,suspension,Any
43,suspension,3rd
44,suspension,3rd
49,suspension,Any
50,suspension,Any
56,suspension,Any
62,suspension,Any
65,suspension,Any
81,suspension,4th
81,suspension,5th
100,suspension,3rd
115,suspension,2nd
121,suspension,Any
123,suspension,Any
130,suspension,Any
138,suspension,Any
144,suspension,Any
161,suspension,Any
162,suspension,4th
163,suspension,4th
165,suspension,Any
168,suspension,Any
169,suspension,Any
175,suspension,Any
178,suspension,Any
194,suspension,Any
203,suspension,Any
205,suspension,Any
208,suspension,Any
213,suspension,Any
220,suspension,3rd
222,suspension,Any
224,suspension,3rd
225,suspension,3rd
228,suspension,5th
239,suspension,Any
242,suspension,Any
251,suspension,Any
262,suspension,Any
266,suspension,Any
269,suspension,Any
278,suspension,Any
281,suspension,Any
284,suspension,5th
297,suspension,1st
297,suspension,2nd
305,suspension,2nd
306,suspension,2nd
311,suspension,3rd
312,suspension,2nd
316,suspension,Any
324,suspension,2nd
325,suspension,2nd
325,suspension,3rd
326,suspension,Any
328,suspension,Any
333,suspension,4th
337,suspension,Any
344,suspension,Any
478,suspension,3rd
345,suspension,2nd
346,suspension,5th
345,suspension,2nd
356,suspension,Any
357,suspension,5th
358,suspension,3rd
359,suspension,4th
360,suspension,Any
365,suspension,Any
368,suspension,Any
374,suspension,Any
375,suspension,Any
388,suspension,Any
393,suspension,3rd
403,suspension,Any
406,suspension,Any
469,suspension,Any
468,suspension,Any
462,suspension,3rd
461,suspension,2nd
461,suspension,3rd
461,suspension,4th
458,suspension,3rd
448,suspension,Any
445,suspension,2nd
445,suspension,3rd
443,suspension,Any
438,suspension,3rd
435,suspension,4th
435,suspension,5th
429,suspension,Any
420,suspension,Any
418,suspension,Any
407,suspension,3rd
38,transfer expulsion,Any
81,transfer expulsion,Any
162,transfer expulsion,4th
178,transfer expulsion,Any
203,transfer expulsion,Any
225,transfer expulsion,3rd
325,transfer expulsion,3rd
368,transfer expulsion,Any
448,transfer expulsion,Any
429,transfer expulsion,Any
0,undefined possible consequences,Any
1,undefined possible consequences,Any
2,undefined possible consequences,Any
3,undefined possible consequences,Any
4,undefined possible consequences,Any
6,undefined possible consequences,Any
7,undefined possible consequences,Any
9,undefined possible consequences,Any
13,undefined possible consequences,Any
16,undefined possible consequences,Any
17,undefined possible consequences,Any
18,undefined possible consequences,Any
21,undefined possible consequences,Any
22,undefined possible consequences,3rd
28,undefined possible consequences,Any
29,undefined possible consequences,2nd
33,undefined possible consequences,2nd
34,undefined possible consequences,Any
39,undefined possible consequences,3rd
42,undefined possible consequences,Any
46,undefined possible consequences,Any
49,undefined possible consequences,Any
50,undefined possible consequences,Any
52,undefined possible consequences,Any
54,undefined possible consequences,Any
55,undefined possible consequences,Any
56,undefined possible consequences,Any
58,undefined possible consequences,Any
61,undefined possible consequences,Any
62,undefined possible consequences,Any
65,undefined possible consequences,Any
67,undefined possible consequences,Any
71,undefined possible consequences,Any
75,undefined possible consequences,Any
84,undefined possible consequences,Any
89,undefined possible consequences,Any
91,undefined possible consequences,Any
92,undefined possible consequences,Any
93,undefined possible consequences,Any
95,undefined possible consequences,Any
98,undefined possible consequences,Any
99,undefined possible consequences,Any
101,undefined possible consequences,Any
102,undefined possible consequences,Any
104,undefined possible consequences,Any
105,undefined possible consequences,Any
108,undefined possible consequences,Any
112,undefined possible consequences,Any
113,undefined possible consequences,Any
115,undefined possible consequences,2nd
116,undefined possible consequences,Any
117,undefined possible consequences,Any
120,undefined possible consequences,Any
123,undefined possible consequences,Any
124,undefined possible consequences,Any
126,undefined possible consequences,Any
134,undefined possible consequences,Any
138,undefined possible consequences,Any
140,undefined possible consequences,Any
141,undefined possible consequences,Any
142,undefined possible consequences,Any
143,undefined possible consequences,3rd
144,undefined possible consequences,Any
145,undefined possible consequences,Any
148,undefined possible consequences,3rd
152,undefined possible consequences,Any
156,undefined possible consequences,Any
157,undefined possible consequences,Any
159,undefined possible consequences,Any
160,undefined possible consequences,Any
161,undefined possible consequences,Any
162,undefined possible consequences,4th
163,undefined possible consequences,4th
164,undefined possible consequences,Any
165,undefined possible consequences,Any
166,undefined possible consequences,4th
167,undefined possible consequences,Any
168,undefined possible consequences,Any
169,undefined possible consequences,Any
170,undefined possible consequences,Any
171,undefined possible consequences,Any
172,undefined possible consequences,Any
174,undefined possible consequences,1st
174,undefined possible consequences,Any
175,undefined possible consequences,Any
179,undefined possible consequences,Any
181,undefined possible consequences,Any
182,undefined possible consequences,Any
185,undefined possible consequences,Any
186,undefined possible consequences,Any
192,undefined possible consequences,Any
193,undefined possible consequences,Any
194,undefined possible consequences,Any
197,undefined possible consequences,Any
199,undefined possible consequences,Any
200,undefined possible consequences,Any
205,undefined possible consequences,Any
207,undefined possible consequences,Any
208,undefined possible consequences,Any
210,undefined possible consequences,Any
216,undefined possible consequences,Any
222,undefined possible consequences,Any
225,undefined possible consequences,3rd
226,undefined possible consequences,Any
236,undefined possible consequences,Any
237,undefined possible consequences,Any
239,undefined possible consequences,Any
240,undefined possible consequences,Any
242,undefined possible consequences,Any
244,undefined possible consequences,Any
245,undefined possible consequences,Any
246,undefined possible consequences,Any
250,undefined possible consequences,Any
251,undefined possible consequences,Any
252,undefined possible consequences,Any
257,undefined possible consequences,Any
258,undefined possible consequences,Any
261,undefined possible consequences,Any
262,undefined possible consequences,Any
263,undefined possible consequences,Any
265,undefined possible consequences,Any
269,undefined possible consequences,Any
270,undefined possible consequences,Any
271,undefined possible consequences,Any
275,undefined possible consequences,Any
278,undefined possible consequences,Any
280,undefined possible consequences,Any
281,undefined possible consequences,Any
282,undefined possible consequences,Any
287,undefined possible consequences,Any
289,undefined possible consequences,Any
290,undefined possible consequences,Any
291,undefined possible consequences,Any
292,undefined possible consequences,Any
293,undefined possible consequences,Any
294,undefined possible consequences,Any
296,undefined possible consequences,Any
299,undefined possible consequences,Any
302,undefined possible consequences,2nd
