school_id,limits,length,inches
371,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
372,skirts,shorter than mid-thigh,
372,shorts,shorter than mid-thigh,
373,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
373,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
374,dresses,shorter than fingertips,
374,skirts,shorter than fingertips,
374,shorts,shorter than fingertips,
376,dresses,shorter than fingertips,
376,skirts,shorter than fingertips,
376,shorts,shorter than fingertips,
379,dresses,shorter than x inches from knee,3
379,skirts,shorter than x inches from knee,3
379,shorts,shorter than x inches from knee,3
381,dresses,shorter than fingertips,
381,skirts,shorter than fingertips,
382,dresses,shorter than mid-thigh,
382,skirts,shorter than mid-thigh,
382,shorts,shorter than mid-thigh,
383,dresses,reasonable coverage,
383,skirts,reasonable coverage,
383,shorts,reasonable coverage,
384,dresses,shorter than mid-thigh,
384,skirts,shorter than mid-thigh,
384,shorts,shorter than mid-thigh,
387,skirts,shorter than x inches from knee,3
387,shorts,shorter than x inches from knee,3
388,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
388,pants,"""short""/""inappropriate length"" (no exact measurement given)",
388,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
388,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
389,dresses,shorter than fingertips,
389,skirts,shorter than fingertips,
389,shorts,shorter than fingertips,
391,skirts,shorter than x inch inseam,4
391,shorts,shorter than x inch inseam,4
392,skirts,shorter than fingertips,
392,shorts,shorter than fingertips,
395,apparel,shorter than x inches from knee,2
396,dresses,shorter than fingertips,
396,skirts,shorter than fingertips,
396,shorts,shorter than fingertips,
398,dresses,shorter than fingertips,
398,skirts,shorter than fingertips,
398,shorts,shorter than x inch inseam,4
399,dresses,shorter than x inches from knee,2
399,skirts,shorter than x inches from knee,
399,shorts,shorter than x inches from knee,
400,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
405,skirts,shorter than fingertips,
405,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
406,skirts,shorter than fingertips,
406,shorts,shorter than fingertips,
469,shorts,shorter than fingertips,
468,dresses,shorter than x inches from knee,3
468,shorts,shorter than x inches from knee,3
467,dresses,shorter than mid-thigh,
467,skirts,shorter than mid-thigh,
467,shorts,shorter than mid-thigh,
466,skirts,shorter than fingertips,
466,shorts,shorter than fingertips,
465,skirts,shorter than mid-thigh,
465,shorts,shorter than mid-thigh,
464,pants,"""short""/""inappropriate length"" (no exact measurement given)",
464,skirts,shorter than x inches from knee,3
464,shorts,shorter than x inches from knee,3
462,dresses,shorter than fingertips,
462,skirts,shorter than fingertips,
462,shorts,shorter than fingertips,
461,skirts,shorter than fingertips,
461,shorts,shorter than fingertips,
460,skirts,shorter than x inches from knee,5
460,shorts,shorter than x inches from knee,5
459,dresses,shorter than x inch inseam,6
459,skirts,shorter than x inch inseam,6
459,shorts,shorter than x inch inseam,4
458,dresses,shorter than fingertips,
458,skirts,shorter than fingertips,
458,shorts,shorter than fingertips,
457,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
457,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
456,dresses,long enough to move without exposing private parts,
456,skirts,long enough to move without exposing private parts,
456,shorts,long enough to move without exposing private parts,
455,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
453,dresses,shorter than fingertips,
453,skirts,shorter than fingertips,
453,shorts,shorter than fingertips,
452,skirts,shorter than fingertips,
452,shorts,shorter than fingertips,
451,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
450,dresses,shorter than mid-thigh,
450,skirts,shorter than mid-thigh,
450,shorts,shorter than mid-thigh,
449,dresses,shorter than fingertips,
449,skirts,shorter than fingertips,
449,shorts,shorter than x inch inseam,2.5
448,dresses,shorter than fingertips,
448,skirts,shorter than fingertips,
448,shorts,to end of thumb (shorts),
446,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
446,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
445,skirts,shorter than mid-thigh,
445,shorts,shorter than x inch inseam,4
443,dresses,shorter than fingertips,
443,skirts,shorter than fingertips,
443,shorts,shorter than fingertips,
442,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
441,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
441,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
440,dresses,shorter than fingertips,
440,skirts,shorter than fingertips,
440,shorts,shorter than fingertips,
438,dresses,shorter than mid-thigh,
438,skirts,shorter than mid-thigh,
438,shorts,shorter than mid-thigh,
437,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
437,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
437,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
435,dresses,shorter than fingertips,
435,skirts,shorter than fingertips,
435,shorts,shorter than fingertips,
433,dresses,shorter than the knee,
433,pants,shorter than the knee,
433,skirts,shorter than the knee,
433,shorts,shorter than the knee,
430,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
429,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
425,skirts,shorter than mid-thigh,
425,shorts,shorter than mid-thigh,
423,dresses,shorter than fingertips,
423,skirts,shorter than fingertips,
423,shorts,shorter than fingertips,
421,dresses,shorter than x inches from knee,3
421,skirts,shorter than x inches from knee,3
421,shorts,shorter than x inches from knee,3
417,skirts,shorter than fingertips,
417,shorts,shorter than fingertips,
416,skirts,shorter than fingertips,
416,shorts,shorter than fingertips,
415,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
415,pants,"""short""/""inappropriate length"" (no exact measurement given)",
415,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
415,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
413,dresses,shorter than fingertips,
413,skirts,shorter than fingertips,
413,shorts,shorter than fingertips,
413,skorts,shorter than fingertips,
412,dresses,shorter than x inches from knee,4
412,skirts,shorter than x inches from knee,4
412,shorts,shorter than x inches from knee,4
411,dresses,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
411,skirts,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
411,shorts,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
410,skirts,shorter than mid-thigh,
410,shorts,shorter than mid-thigh,
409,skirts,shorter than mid-thigh,
409,shorts,shorter than mid-thigh,
407,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
407,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
