school_id,limits,length,inches
80,skirts,shorter than x inches from knee,2
80,shorts,shorter than x inches from knee,2
80,skorts,shorter than x inches from knee,2
81,dresses,shorter than x inches from knee,width of a dollar bill
81,skirts,shorter than x inches from knee,width of a dollar bill
81,shorts,shorter than fingertips,
82,skirts,shorter than the knee,
82,shorts,shorter than the knee,
84,dresses,shorter than x inches from knee,3
84,skirts,shorter than x inches from knee,3
84,shorts,shorter than x inches from knee,3
85,dresses,shorter than x inches from knee,3
85,skirts,shorter than x inches from knee,3
85,shorts,shorter than x inches from knee,3
86,skirts,shorter than x inches from knee,3
86,shorts,shorter than x inches from knee,5
87,shorts,"shorter than fingertips, shorter than mid-thigh, whichever is longer",
88,skirts,shorter than x inches from knee,6
88,shorts,shorter than x inches from knee,6
89,skirts,shorter than mid-thigh,
89,shorts,shorter than mid-thigh,
89,jumpers,shorter than mid-thigh,
90,skirts,shorter than mid-thigh,
90,shorts,shorter than mid-thigh,
91,skirts,shorter than fingertips,
91,shorts,shorter than fingertips,
93,dresses,shorter than mid-thigh,
93,skirts,shorter than mid-thigh,
93,shorts,shorter than mid-thigh,
93,skorts,shorter than mid-thigh,
94,skirts,shorter than fingertips,
94,shorts,shorter than fingertips,
96,shorts,does not conceal entire bottom,
98,dresses,shorter than x inches from knee,4
98,skirts,shorter than x inches from knee,4
98,shorts,shorter than x inches from knee,4
99,dresses,shorter than x inches from knee,3
99,skirts,shorter than x inches from knee,3
99,shorts,shorter than x inches from knee,3
100,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
100,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
101,dresses,not cover entire buttocks and private areas,
101,pants,not cover entire buttocks and private areas,
101,skirts,not cover entire buttocks and private areas,
101,shorts,not cover entire buttocks and private areas,
101,skorts,not cover entire buttocks and private areas,
103,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
104,skirts,shorter than fingertips,
105,dresses,shorter than the knee,
105,skirts,shorter than the knee,
105,shorts,shorter than the knee,
106,pants,shorter than mid-thigh,
106,skirts,shorter than mid-thigh,
106,shorts,shorter than mid-thigh,
107,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
108,dresses,shorter than fingertips,
108,skirts,shorter than fingertips,
108,shorts,shorter than fingertips,
109,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
110,skirts,"shorter than fingertips, shorter than x inches from knee, whichever is longest",6
110,shorts,"shorter than fingertips, shorter than x inches from knee, whichever is longest",6
112,dresses,shorter than the knee,
112,skirts,shorter than the knee,
112,shorts,shorter than the knee,
113,dresses,shorter than fingertips,
113,skirts,shorter than fingertips,
113,shorts,shorter than fingertips,
114,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
114,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
116,skirts,shorter than fingertips,
116,shorts,shorter than fingertips,
117,dresses,shorter than 2 inches below longest fingertip,
117,skirts,shorter than 2 inches below longest fingertip,
117,shorts,shorter than 2 inches below longest fingertip,
118,dresses,shorter than fingertips,
118,shorts,shorter than fingertips,
119,dresses,shorter than x inches from knee,length of a standard Ohio driver's license
119,skirts,shorter than x inches from knee,length of a standard Ohio driver's license
119,shorts,shorter than x inches from knee,length of a dollar bill
120,dresses,shorter than mid-thigh,
120,skirts,shorter than mid-thigh,
120,shorts,shorter than x inch inseam,5
121,dresses,shorter than x inch inseam,2
121,skirts,shorter than x inch inseam,2
121,shorts,shorter than x inch inseam,2
122,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
122,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
122,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
123,dresses,shorter than mid-thigh,
123,skirts,shorter than mid-thigh,
123,shorts,shorter than mid-thigh,
124,skirts,shorter than mid-thigh,
124,shorts,shorter than mid-thigh,
125,skirts,shorter than x inches from knee,2
125,shorts,shorter than mid-thigh,
126,dresses,shorter than x inches from knee,3
126,skirts,shorter than x inches from knee,3
